                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.0205,                0.61364,                0.87366,                0.93142,                      1,                  0.995,                0.75349,                0.93086,                0.53088,                0.88457,                0.00406,                0.00406,                0.00406
                     62,                0.95353,                0.61428,                 0.8703,                0.93142,                      1,                  0.995,                0.75349,                0.93086,                0.53088,                0.88457,               0.003961,               0.003961,               0.003961
                     63,                0.97319,                 0.5981,                0.87917,                0.92588,                      1,                  0.995,                0.73445,                 0.9678,                0.56729,                0.88576,               0.003862,               0.003862,               0.003862
                     64,                0.99208,                0.59165,                0.88195,                0.90957,                      1,                  0.995,                0.72739,                 1.0139,                  0.554,                 0.9008,               0.003763,               0.003763,               0.003763
                     65,                0.95995,                0.58956,                0.87427,                0.92324,                      1,                  0.995,                0.75052,                 0.9422,                0.53655,                0.88277,               0.003664,               0.003664,               0.003664
                     66,                0.97187,                0.57726,                0.86695,                0.92324,                      1,                  0.995,                0.75052,                 0.9422,                0.53655,                0.88277,               0.003565,               0.003565,               0.003565
                     67,                0.94264,                0.59988,                 0.8655,                0.92308,                      1,                  0.995,                0.73988,                0.97143,                0.55918,                0.89128,               0.003466,               0.003466,               0.003466
                     68,                0.92733,                 0.5899,                0.86003,                0.94436,                 0.9917,                  0.995,                0.74427,                0.93495,                0.54755,                0.88114,               0.003367,               0.003367,               0.003367
                     69,                0.99839,                0.60738,                0.88145,                0.95748,                0.98974,                  0.995,                0.74667,                0.92948,                0.57825,                0.88226,               0.003268,               0.003268,               0.003268
                     70,                 0.9653,                0.58399,                0.86877,                0.95748,                0.98974,                  0.995,                0.74667,                0.92948,                0.57825,                0.88226,               0.003169,               0.003169,               0.003169
                     71,                0.93991,                 0.5734,                0.85456,                0.96492,                0.98812,                  0.995,                0.78229,                 0.8559,                0.52708,                0.87729,                0.00307,                0.00307,                0.00307
                     72,                0.92475,                0.55829,                0.85024,                0.93468,                      1,                  0.995,                 0.7524,                0.89512,                0.56068,                0.87492,               0.002971,               0.002971,               0.002971
                     73,                0.89492,                0.55781,                0.85533,                0.92182,                      1,                  0.995,                0.77885,                0.86177,                 0.5091,                 0.8765,               0.002872,               0.002872,               0.002872
                     74,                0.93191,                0.57318,                0.85435,                0.92182,                      1,                  0.995,                0.77885,                0.86177,                 0.5091,                 0.8765,               0.002773,               0.002773,               0.002773
                     75,                0.89548,                0.55099,                0.86466,                0.91002,                      1,                  0.995,                0.76548,                0.86708,                 0.5094,                0.87445,               0.002674,               0.002674,               0.002674
                     76,                0.89735,                 0.5347,                0.85663,                 0.9048,                      1,                  0.995,                0.78732,                0.86054,                0.50054,                0.87441,               0.002575,               0.002575,               0.002575
                     77,                0.92144,                0.57827,                0.84709,                0.91828,                      1,                  0.995,                0.76435,                0.86784,                0.52582,                0.87381,               0.002476,               0.002476,               0.002476
                     78,                 0.9741,                0.55433,                0.85488,                0.91828,                      1,                  0.995,                0.76435,                0.86784,                0.52582,                0.87381,               0.002377,               0.002377,               0.002377
                     79,                0.87527,                0.52755,                0.87347,                0.94117,                      1,                  0.995,                0.78818,                0.85899,                0.48002,                0.87251,               0.002278,               0.002278,               0.002278
                     80,                0.86983,                0.53544,                0.85515,                 0.9467,                      1,                  0.995,                0.77837,                 0.8714,                0.51206,                 0.8726,               0.002179,               0.002179,               0.002179
                     81,                0.89472,                0.54901,                0.85445,                0.95542,                      1,                  0.995,                0.77388,                0.86012,                0.48746,                0.87413,                0.00208,                0.00208,                0.00208
                     82,                0.88255,                 0.5362,                 0.8523,                0.95542,                      1,                  0.995,                0.77388,                0.86012,                0.48746,                0.87413,               0.001981,               0.001981,               0.001981
                     83,                0.86243,                0.55629,                0.86082,                0.95934,                0.99491,                  0.995,                0.77176,                0.86105,                0.49793,                0.87111,               0.001882,               0.001882,               0.001882
                     84,                0.87785,                0.53407,                0.85546,                0.95391,                      1,                  0.995,                0.75555,                0.88047,                0.48351,                0.87554,               0.001783,               0.001783,               0.001783
                     85,                0.86419,                0.50542,                0.84657,                0.95514,                      1,                  0.995,                0.76631,                0.86706,                 0.4754,                0.87289,               0.001684,               0.001684,               0.001684
                     86,                0.89166,                0.54886,                0.85451,                0.95514,                      1,                  0.995,                0.76631,                0.86706,                 0.4754,                0.87289,               0.001585,               0.001585,               0.001585
                     87,                0.83215,                 0.5231,                0.84838,                0.96057,                0.99575,                  0.995,                  0.771,                0.85995,                0.47709,                0.87106,               0.001486,               0.001486,               0.001486
                     88,                0.82412,                0.50946,                0.85664,                0.95691,                0.99451,                  0.995,                0.78313,                0.84466,                0.45228,                0.87174,               0.001387,               0.001387,               0.001387
                     89,                0.86584,                  0.507,                0.84348,                0.96079,                0.99337,                  0.995,                0.78357,                0.85377,                0.46343,                0.87321,               0.001288,               0.001288,               0.001288
                     90,                 0.8741,                0.55096,                0.85077,                0.96079,                0.99337,                  0.995,                0.78357,                0.85377,                0.46343,                0.87321,               0.001189,               0.001189,               0.001189
                     91,                0.85082,                0.53355,                0.84916,                0.96513,                0.98303,                  0.995,                0.78709,                 0.8554,                0.46655,                0.87268,                0.00109,                0.00109,                0.00109
                     92,                0.85815,                 0.5304,                 0.8473,                0.97014,                0.97672,                  0.995,                0.78461,                0.85233,                0.47156,                0.87206,               0.000991,               0.000991,               0.000991
                     93,                0.82978,                0.49072,                0.85614,                 0.9706,                0.97169,                  0.995,                0.78687,                0.85043,                0.47409,                0.87229,               0.000892,               0.000892,               0.000892
                     94,                0.83537,                0.52394,                0.86021,                 0.9706,                0.97169,                  0.995,                0.78687,                0.85043,                0.47409,                0.87229,               0.000793,               0.000793,               0.000793
                     95,                0.84631,                0.49314,                0.86076,                0.96678,                0.97224,                  0.995,                0.78611,                0.85973,                0.47922,                0.87341,               0.000694,               0.000694,               0.000694
                     96,                0.85924,                0.53668,                0.84785,                0.96008,                0.98032,                  0.995,                0.79002,                0.86303,                0.47314,                0.87284,               0.000595,               0.000595,               0.000595
                     97,                0.86645,                0.50397,                0.85401,                 0.9553,                0.98715,                  0.995,                0.78438,                0.86907,                0.46585,                0.87242,               0.000496,               0.000496,               0.000496
                     98,                0.83499,                 0.4972,                 0.8575,                 0.9553,                0.98715,                  0.995,                0.78438,                0.86907,                0.46585,                0.87242,               0.000397,               0.000397,               0.000397
                     99,                 0.8473,                0.50025,                0.83688,                0.95435,                 0.9909,                  0.995,                0.79046,                0.86993,                0.46604,                 0.8721,               0.000298,               0.000298,               0.000298
